site,tomst_id,start_date,end_date,probl
RA079,94204800,2020-05-27,2020-07-28,2
RA079,94204800,2020-07-29,2021-08-30,6
RA080,94204796,2020-05-27,2020-07-28,2
RA080,94204796,2020-07-29,2021-03-25,6
RA080,94204796,2021-03-26,2021-07-29,9
RA080,94204796,2021-07-30,2021-08-02,1
RA081,94204750,2020-05-27,2020-07-29,2
RA081,94204750,2020-07-30,2021-08-10,6
RA082,94204747,2020-05-27,2020-07-29,2
RA082,94204747,2020-07-30,2021-08-02,6
RA083,94204746,2020-05-27,2020-07-29,2
RA083,94204746,2020-07-30,2021-08-10,6
RA084,94204749,2020-05-27,2020-07-29,2
RA084,94204749,2020-07-30,2021-08-10,6
RA085,94204727,2020-05-27,2020-07-29,2
RA085,94204727,2020-07-30,2021-08-10,6
RA086,94204728,2020-05-27,2020-07-29,2
RA086,94204728,2020-07-30,2021-08-10,6
RA087,94204730,2020-05-27,2020-08-04,2
RA087,94204730,2020-08-05,2021-08-13,6
RA087,94204730,2022-07-18,2022-08-12,3
RA088,94204729,2020-05-27,2020-08-04,2
RA088,94204729,2020-08-05,2021-08-13,6
RA089,94204726,2020-05-27,2020-08-04,2
RA089,94204726,2020-08-05,2021-08-13,6
RA090,94204744,2020-05-27,2020-08-04,2
RA090,94204744,2020-08-05,2021-08-13,6
RA091,94204743,2020-05-27,2020-08-04,2
RA091,94204743,2020-08-05,2021-08-13,6
RA092,94204741,2020-05-27,2020-08-04,2
RA092,94204741,2020-08-05,2021-08-13,6
RA093,94204742,2020-05-27,2020-08-04,2
RA093,94204742,2020-08-05,2021-08-13,6
RA094,94204745,2020-05-27,2020-08-04,2
RA094,94204745,2020-08-05,2021-08-13,6
RA095,94204737,2020-05-27,2020-08-04,2
RA095,94204737,2020-08-05,2021-08-15,6
RA096,94204738,2020-05-27,2020-08-04,2
RA096,94204738,2020-08-05,2021-08-15,6
RA096,94204738,2021-08-16,2022-08-08,1
RA101,94204733,2020-05-27,2020-08-14,2
RA101,94204733,2020-08-15,2021-08-15,6
MI19,94181317,2018-06-01,2018-06-21,2
MI19,94181317,2021-06-17,2021-07-11,1
MI103,94181311,2018-06-01,2018-06-22,2
MI1043,94181625,2018-06-11,2018-06-18,2
MI1043,94181625,2022-08-10,2022-09-19,1
MI1057,94181319,2018-06-01,2018-06-21,2
MI1069,94181610,2018-06-01,2018-06-19,2
MI1069,94181610,2019-05-22,2019-06-11,3
MI1069,94181610,2019-08-18,2019-08-23,3
MI1105,94181620,2018-06-01,2018-06-19,2
MI1117,94181619,2018-06-01,2018-06-19,2
MI1117,94181619,2019-05-20,2019-06-11,3
MI11204,94181301,2018-06-01,2018-07-01,2
MI11208,94181621,2018-06-11,2018-06-18,2
MI11208,94181621,2019-04-22,2019-06-12,3
MI11214,94181617,2018-06-01,2018-06-19,2
MI11216,94181616,2018-06-01,2018-06-19,2
MI11216,94181616,2019-05-20,2019-06-11,3
MI11219,94181626,2018-06-11,2018-06-18,2
MI11219,94181626,2018-08-04,2018-09-01,1
MI11219,94181626,2019-08-05,2019-09-26,1
MI11225,94181615,2018-06-01,2018-06-19,2
MI11225,94181615,2019-09-15,2019-09-25,1
MI11226,94181305,2018-06-01,2018-06-19,2
MI11226,94181305,2019-05-31,2019-06-13,3
MI11227,94181307,2018-06-01,2018-06-19,2
MI11227,94181307,2019-05-20,2019-06-13,3
MI11227,94181307,2019-08-23,2019-09-26,1
MI11228,94181306,2018-06-01,2018-06-19,2
MI11228,94181306,2019-06-05,2019-06-13,3
MI11229,94181304,2018-06-01,2018-06-19,2
MI11229,94181304,2019-05-18,2019-06-13,3
MI11229,94181304,2022-08-24,2022-09-20,3
MI1123,94181623,2018-06-11,2018-06-18,2
MI1123,94181623,2019-05-30,2019-06-12,3
MI11230,94181309,2018-06-01,2018-06-19,2
MI11230,94181309,2019-05-21,2019-06-13,3
MI11230,94181309,2020-06-07,2020-07-20,1
MI11231,94181611,2018-06-01,2018-06-19,2
MI11231,94181611,2019-06-03,2019-06-13,3
MI11232,94181614,2018-06-01,2018-06-19,2
MI11233,94181618,2018-06-01,2018-06-19,2
MI1195,94181612,2018-06-01,2018-06-19,2
MI1195,94181612,2019-06-06,2019-06-13,3
MI1195,94181612,2020-07-20,2020-08-30,1
MI1195,94214996,2021-08-02,2021-09-28,2
MI151,94181318,2018-06-01,2018-06-22,2
MI151,94181318,2019-07-05,2019-08-11,3
MI235,94181310,2018-06-01,2018-06-22,2
MI235,94181310,2019-07-09,2019-08-11,3
MI247,94181629,2018-06-11,2018-06-18,2
MI247,94181629,2018-08-17,2019-06-13,3
MI259,94181316,2018-06-01,2018-06-21,2
MI259,94181316,2019-05-29,2019-06-11,3
MI343,94181308,2018-06-01,2018-06-23,2
MI343,94181308,2018-06-24,2022-09-18,6
MI367,94181630,2018-06-11,2018-06-18,2
MI422,94181315,2018-06-01,2018-06-21,2
MI475,94181320,2018-06-01,2018-06-22,2
MI511,94181312,2018-06-01,2018-06-22,2
MI529,94181609,2018-06-01,2018-06-19,2
MI529,94181609,2018-07-08,2018-07-10,1
MI547,94181314,2018-06-01,2018-06-22,2
MI553,94181313,2018-06-01,2018-06-22,2
MI583,94181605,2018-06-01,2018-06-19,2
MI607,94181627,2018-06-11,2018-06-18,2
MI607,94181627,2019-05-20,2019-06-11,3
MI667,94181303,2018-06-01,2018-06-19,2
MI679,94181603,2018-06-01,2018-06-19,2
MI685,94181628,2018-06-11,2018-06-18,2
MI697,94204722,2020-05-27,2020-07-24,2
MI697,94204722,2020-07-25,2021-07-25,6
MI747,94181302,2018-06-01,2018-06-19,2
MI751,94181607,2018-06-01,2018-06-19,2
MI757,94181604,2018-06-01,2018-06-19,2
MI799,94181606,2018-06-01,2018-06-19,2
MI799,94181606,2019-05-30,2019-06-12,3
MI805,94181622,2018-06-11,2018-06-18,2
MI895,94181602,2018-06-01,2018-06-19,2
MI895,94181602,2019-05-20,2019-06-11,3
MI895,94181602,2021-07-25,2021-08-02,1
MI895,94181602,2021-08-03,2021-08-03,1
MI895,94181602,2021-08-04,2021-08-04,1
MI895,94181602,2021-08-05,2021-08-05,1
MI895,94181602,2021-08-06,2021-08-06,1
MI895,94181602,2021-08-07,2021-08-07,1
MI895,94181602,2021-08-08,2021-08-08,1
MI895,94181602,2021-08-09,2021-08-09,1
MI895,94181602,2021-08-10,2021-08-10,1
MI895,94181602,2021-08-11,2021-08-11,1
MI895,94181602,2021-08-12,2021-08-12,1
MI895,94181602,2021-08-13,2021-08-13,1
MI895,94181602,2021-08-14,2021-08-14,1
MI895,94181602,2021-08-15,2021-08-15,1
MI895,94181602,2021-08-16,2021-08-16,1
MI895,94181602,2021-08-17,2021-08-17,1
MI895,94181602,2021-08-18,2021-08-18,1
MI895,94181602,2021-08-19,2021-08-19,1
MI895,94181602,2021-08-20,2021-08-20,1
MI895,94181602,2021-08-21,2021-08-21,1
MI895,94181602,2021-08-22,2021-08-22,1
MI895,94181602,2021-08-23,2021-08-23,1
MI895,94181602,2021-08-24,2021-08-24,1
