tomst_id,T1,T2,T3
94194401,0.0922,0,-0.0764
94194396,0.1409,0,-0.045
94194260,0.1446,-0.0387,0
94194371,0.2866,0,-0.2796
94194367,0,0.024,-0.0246
94194364,0,0.0454,-0.0773
94190041,0,-0.0489,0.1354
94194394,0.0691,-0.0297,0
94194374,0,0.1937,-0.0477
94194376,0.1275,0,-0.1064
94194267,0.1458,-0.0505,0
94194397,0.1441,0,-0.1059
94194402,0.1888,-0.0204,0
94194369,0,0.0516,-0.042
94194404,0.1478,0,-0.0563
94194405,0.0847,0,-0.1009
94194255,0.0998,0,-0.0333
94194391,0,0.0107,-0.144
94194361,0.0552,0,-0.157
94194408,0.018,-0.0629,0
94194375,0.1759,-0.0037,0
94194410,-0.0064,0.0438,0
94194399,-0.0172,0,0.0144
94194262,0.1717,-0.0156,0
94194400,0,0.0531,-0.032
94194395,0.0704,-0.0294,0
94194377,0,0.0377,-0.0606
94194254,0.0226,0,-0.0719
94194256,0,-0.21,0.0544
94194252,0.2556,0,-0.0249
94194365,0.0059,-0.0108,0
94194261,0.0899,0,-0.0732
94194258,0.0193,0,-0.0746
94194409,0.0371,0,-0.0798
94194362,0.1973,0,-0.0095
94194403,0.083,0,-0.0622
94194378,0.1668,-0.0647,0
94194380,0.0043,-0.1895,0
94194372,0.0099,0,-0.1369
94194363,0.0863,-0.0791,0
94194392,0.13,0,-0.0729
94194370,0.0465,-0.0581,0
94194251,0.1239,0,-0.0132
94194407,0.0872,0,-0.0498
94194324,-0.057,0,0.0016
94194338,0,-0.1413,0.0113
94194207,0.0206,-0.0926,0
94194319,0,-0.1246,0.0469
94194296,0.1214,-0.0603,0
94194322,0.4363,-0.0576,0
94194336,0.0068,0,-0.1456
94194298,0.1446,-0.0778,0
94194316,-0.0625,0,0.002
94194294,0.2941,-0.0758,0
94194318,0.2028,-0.0121,0
94194329,0.1491,-0.2442,0
94194201,0,-0.1194,0.0099
94194315,0,-0.0364,0.073
94194335,0.1912,-0.027,0
94194295,0.0633,0,-0.1517
94194300,0,0.0165,-0.0929
94194328,0,0.0435,-0.0981
94194312,0.0971,-0.0497,0
94194321,0.2129,-0.0497,0
94194327,0.1056,0,-0.0371
94194311,0.0251,-0.0599,0
94194210,0.0531,-0.1222,0
94194320,0.1168,0,-0.0744
94194203,0.1578,-0.0694,0
94194206,0,0.1138,-0.0429
94194202,0.1143,0,-0.0045
94194314,0.0178,-0.1314,0
